Towns & cities magazine: Prairies edition,,N020964
"Fifty-fifth annual session - Order of the Eastern Star. Grand Chapter of
Alberta",,N020965
3rd annual Sportsman's Dinner - Edmonton Sportswriters and Sportscasters Association,,N020994
Annual - Alberta Curling Association,,N021014
Edmonton Transit guide - Edmonton Transit System,,N021016
"Marian manuscript - St Mary's High School (Edmonton, Alta.)",,N021019
"""Catch them all"" from Calgary: Type of fish, type of bait, where to go, how to get there - Calgary Brewing and Malting Company",,N021021
"Rf: By & for western Canadian amateurs - RF Propagation Society of
Canada",,N021041
Home parade '66 - Edmonton House Builders' Association,,N021042
Your P.C. newsletter - Progressive Conservative Party of Alberta,,N021050
51st annual Alberta Provincial Poultry Show - Calgary Poultry Association,,N021051
"The blue & white - St. Joseph Composite High School (Edmonton, Alta.)",,N021057
"Official program: Lethbridge & District Exhibition & Rodeo, July 24-25-
26-27, [1963]",,N021059
62nd annual Financial Statement of the Town of Leduc - Town of Leduc,,N021060
"Twelfth annual Flin Flon Trout Festival, June 29, 30, July 1, 2, 1962",,N021061
15th annual Annual Calgary Stampede Salon of Pictorial Photography and 1st annual International Exhibiton of Color Photography,,"N021095
(SUB
N021165)"
16th annual Annual Calgary Stampede Salon of Pictorial Photography and 2nd annual International Exhibiton of Color Photography,,"N021095
(SUB
N021165)"
17th annual Annual Calgary Stampede Salon of Pictorial Photography and 3rd annual International Exhibiton of Color Photography,,"N021095
(SUB
N021165)"
"5th annual Stampede City International Exhibition of Color Photography -
Stampede City International Exhibition of Color Photography",,"N021095
(SUB
N021165)"
1st annual Winnipeg Benefit Horse Show,,N021096
"Official football program - University of Alberta, Calgary",,N021108
"The Parish Church of Saint Augustine, Lethbridge, Alberta, February 14th, 1962 - St. Augustine's Church (Lethbridge, Alta.)",,N021111
Asklepios - Faculty of Medicine. University of Manitoba,,N021113
Asklepios - Faculty of Medicine. University of Manitoba,,N021113
Asklepios - Faculty of Medicine. University of Manitoba,,N021113
The resident - University of Manitoba,,N021114
Explorer - Manitoba Dental Students Association,,N021115
Explorer - Manitoba Dental Students Association,,N021115
"Orbit - Vincent Massey Junior High School (Calgary, Alta.)",,N021116
The Alberta stockman's guide,,N021120
"Parade of homes, 1956 - Calgary House Builders Association",,N021125
"Catalogue - North-west Wholesale Furniture Ltd. (Calgary, Alta.)",,N021126
Gladiolus - Calgary Gladiolus Society,,N021127
"Official program: Sixth annual District Convention, Montana-Alberta - 
Lions International. District 37, Montana-Alberta",,N021130
"Quo vadis: Whither thou goest - University of Manitoba. School of Medical
Rehabilitation",,N021133 
"The Paulinian - St. Paul's College (Winnipeg, Man.)",,N021134
